1,1,5,978300760
1,2,3,978300760
1,3,4,978300760
1,4,3,978300760
2,1,4,978300760
2,2,5,978300760
2,3,3,978300760
2,5,3,978300760
3,1,3,978300760
3,2,4,978300760
3,3,5,978300760
3,4,3,978300760
3,6,5,978300760
4,1,4,978300760
4,3,3,978300760
4,4,5,978300760
4,5,4,978300760
5,1,3,978300760
5,2,5,978300760
5,3,4,978300760
5,4,2,978300760
5,5,3,978300760
6,1,3,978300760
6,2,4,978300760
6,4,5,978300760
6,5,3,978300760
6,6,4,978300760
7,1,4,978300760
7,2,3,978300760
7,3,5,978300760
7,4,4,978300760
7,5,3,978300760
7,6,5,978300760
8,1,5,978300760
8,2,4,978300760
8,3,3,978300760
8,4,2,978300760
8,5,5,978300760
8,6,4,978300760
9,1,3,978300760
9,2,5,978300760
9,3,4,978300760
9,4,3,978300760
9,6,4,978300760
10,1,4,978300760
10,2,3,978300760
10,3,5,978300760
10,5,4,978300760
10,6,3,978300760 
